N	r
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.000000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.020000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.040000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
1.000000	1.060000
